"","year","scenario","breed_start","breed_end","precip_start","precip_end","avg_min_temp","precipitation","mean_April_temp"
"151",2099,2,102,123,113,133,3.205920102,0.120587278571429,7.612725078
"152",2100,2,103,124,114,134,2.96538245945455,0.109584175714287,7.1280986028
"153",2025,3,109,130,120,140,1.60746839781818,0.0965742176190488,5.2617170032
"154",2026,3,111,132,122,142,1.75312267963636,0.129825732857143,4.6772965372
"155",2027,3,112,133,123,143,2.078278524,0.122351927142858,4.3216596444
"156",2028,3,108,129,119,139,1.40521702363636,0.115673943333334,5.6330198232
"157",2029,3,109,130,120,140,2.18037523963636,0.119653052857143,5.3774821016
"158",2030,3,111,132,122,142,1.98714055909091,0.114255304285715,4.6869605832
"159",2031,3,108,129,119,139,2.14749898745455,0.107577320476192,5.5539780996
"160",2032,3,108,129,119,139,1.58166678218182,0.115224130952382,5.481548618
"161",2033,3,108,129,119,139,1.61343328745455,0.117923005238096,5.6006707008
"162",2034,3,107,128,118,138,1.87422381109091,0.124670190952382,5.8216213104
"163",2035,3,108,129,119,139,2.33726570890909,0.122455730000001,5.6642499508
"164",2036,3,105,126,116,136,2.07383953636364,0.103978821428572,6.4478514912
"165",2037,3,106,127,117,137,2.52633883854545,0.134635265238096,6.2767470136
"166",2038,3,106,127,117,137,2.40509898872727,0.13733413952381,6.2888525028
"167",2039,3,106,127,117,137,2.35418934927273,0.118891831904763,6.3290345888
"168",2040,3,107,128,118,138,2.29592763654545,0.129514324285715,5.791306724
"169",2041,3,107,128,118,138,2.27331654327273,0.11733478904762,5.9120564356
"170",2042,3,108,129,119,139,1.94940916418182,0.111245021428572,5.4857194168
"171",2043,3,105,126,116,136,2.57225461690909,0.122905542380953,6.6088850156
"172",2044,3,105,126,116,136,2.23128487909091,0.113459482380953,6.4694175728
"173",2045,3,104,125,115,135,2.84261670763636,0.132420804285715,6.8799869376
"174",2046,3,105,126,116,136,2.41744492309091,0.123320753809525,6.6577138796
"175",2047,3,106,127,117,137,2.520790104,0.132732212857144,6.117341118
"176",2048,3,104,125,115,135,2.17343932145455,0.126919252857144,6.7155964288
"177",2049,3,105,126,116,136,2.45198579563636,0.112871266190477,6.3907827564
"178",2050,3,105,126,116,136,3.11228520654545,0.117438591904763,6.5558853528
"179",2051,3,106,127,117,137,2.29537276309091,0.119999062380954,6.323846522
"180",2052,3,106,127,117,137,2.65867615745455,0.119860658571429,6.3352399236
"181",2053,3,104,125,115,135,2.91891180763636,0.145465363333334,6.8493671708
"182",2054,3,103,124,114,134,3.12213421036364,0.133701039523811,7.2244338824
"183",2055,3,102,123,113,133,3.03210599236364,0.139410196666668,7.4019471484
"184",2056,3,102,123,113,133,3.05443964890909,0.132697611904763,7.412323282
"185",2057,3,102,123,113,133,2.59819495090909,0.11515492904762,7.5585046936
"186",2058,3,103,124,114,134,2.59486571018182,0.136849726190477,7.3311452956
"187",2059,3,102,123,113,133,2.98549662218182,0.127230661428572,7.6236098456
"188",2060,3,102,123,113,133,2.67310286727273,0.141624657619049,7.468273022
"189",2061,3,101,122,112,132,3.05124912654545,0.107854128095239,7.8470018984
"190",2062,3,102,123,113,133,3.28512828763636,0.136053904285716,7.6374446904
"191",2063,3,101,122,112,132,2.93791622345455,0.14238587857143,7.7489372632
"192",2064,3,100,121,111,131,2.85607238890909,0.124324181428572,8.1273609592
"193",2065,3,102,123,113,133,3.32591148654545,0.130586953809525,7.4019471484
"194",2066,3,100,121,111,131,3.26945311254545,0.132005592857143,8.1022344396
"195",2067,3,98,119,109,129,3.33506689854545,0.125881224285715,8.6163616868
"196",2068,3,100,121,111,131,2.99520690763636,0.119687653809525,8.2288843056
"197",2069,3,99,120,110,130,3.41510739436364,0.138994985238097,8.5651931064
"198",2070,3,99,120,110,130,2.94138418254545,0.148510247142858,8.384322856
"199",2071,3,100,121,111,131,3.40040324781818,0.119583850952382,8.2718130152
"200",2072,3,99,120,110,130,2.95026215781818,0.146018978571429,8.3496340172
"201",2073,3,98,119,109,129,3.34311256363636,0.14349310904762,8.7080175336
"202",2074,3,100,121,111,131,3.57865634509091,0.149444472857144,8.2818839684
"203",2075,3,98,119,109,129,3.19926162054545,0.132282400476191,8.6948947764
"204",2076,3,95,116,106,126,2.75702747727273,0.125189205238096,9.6586544796
"205",2077,3,98,119,109,129,3.36267185290909,0.134704467142858,8.6792288492
"206",2078,3,97,118,108,128,3.29456113636364,0.149755881428572,9.017572186
"207",2079,3,98,119,109,129,3.52719183218182,0.147472218571429,8.7030329204
"208",2080,3,94,115,105,125,2.93847109690909,0.120448874761906,10.014494826
"209",2081,3,94,115,105,125,3.31065246654545,0.128822305238096,9.9721764772
"210",2082,3,96,117,107,127,3.42634358181818,0.128061084285715,9.305967664
"211",2083,3,95,116,106,126,3.34963232672727,0.137610947142858,9.6941571328
"212",2084,3,97,118,108,128,3.22201143218182,0.114462910000001,9.2343519968
"213",2085,3,97,118,108,128,3.40414864363636,0.161381801428572,9.0178773664
"214",2086,3,95,116,106,126,3.32715995181818,0.137230336666668,9.6900880608
"215",2087,3,95,116,106,126,3.37904061981818,0.148302641428572,9.8408471784
"216",2088,3,95,116,106,126,3.02378289054545,0.152454755714287,9.6814412828
"217",2089,3,95,116,106,126,3.17401487836364,0.131624982380953,9.7997495512
"218",2090,3,97,118,108,128,3.52552721181818,0.135673293809525,9.2338433628
"219",2091,3,94,115,105,125,3.24628714581818,0.128372492857144,10.099945338
"220",2092,3,91,112,102,122,3.05998838345455,0.129583526190477,11.0538375416
"221",2093,3,93,114,104,124,3.27694390418182,0.131417376666668,10.3121474428
"222",2094,3,93,114,104,124,3.38680884818182,0.153042971904763,10.3955634188
"223",2095,3,95,116,106,126,3.42273690436364,0.137507144285715,9.5783920344
"224",2096,3,93,114,104,124,2.99395844236364,0.143908320476191,10.4525304268
"225",2097,3,93,114,104,124,3.23102812581818,0.178128662380953,10.3037041184
"226",2098,3,94,115,105,125,3.21465935890909,0.140033013809525,10.108083482
"227",2099,3,93,114,104,124,3.37876318309091,0.152004943333334,10.2706429084
"228",2100,3,91,112,102,122,3.60445796072727,0.134566063333334,10.8956523676
