year,scenario,breedingSeasonStart,breedingSeasonEnd,tempIndex,precipIndex,survivorship,survivorshipT,survivorshipP
2047,SSP245,112,134,1.4027153326903667,0.26340188982117163,0.6839658460574685,0.6856594791120927,0.7226906389145984
2048,SSP245,112,134,1.3068745364347911,0.2511920689079922,0.6809235995451413,0.6941354552327526,0.7118095524138415
2049,SSP245,109,131,1.1285943440975528,0.2919839705951941,0.7332136977775183,0.7095553947733799,0.7471477493630353
2050,SSP245,112,134,1.102178982255584,0.24661338606555316,0.6947706951143042,0.7118007186075639,0.7076642629367634
2051,SSP245,112,134,2.0003381681686276,0.5134257226114277,0.8353163596990958,0.6301469689722599,0.8866159277508369
2052,SSP245,109,131,1.0757441781028465,0.33461524084205946,0.7720969354620878,0.7140373213173741,0.7808813578543857
2053,SSP245,107,129,0.9933047820211839,0.3294459211242545,0.7740901704730335,0.7209450725080074,0.7769694395880106
2054,SSP245,109,131,0.6103184126192919,0.3508527499980054,0.8151693158878309,0.7516591257337754,0.7928464262382587
2055,SSP245,111,133,1.6563724380000084,0.35326787940940485,0.7430976478893331,0.6626313548099079,0.7945842300685192
2056,SSP245,110,132,1.2302326860105963,0.44233126538516604,0.8361292879101218,0.700820585966623,0.8512186312424548
2057,SSP245,110,132,1.9637678311357372,0.381892651864944,0.7428533399084044,0.6336634466678711,0.8143580983433952
2058,SSP245,109,131,2.059792625488857,0.1407486888297204,0.4903503312707107,0.6244005833247287,0.6032012594446806
2059,SSP245,109,131,1.1949379093149441,0.30331861203732036,0.7375697553182854,0.7038708710226127,0.7564418874419027
2060,SSP245,108,130,0.9465989121081403,0.3053060005710152,0.7585548056058039,0.7248129340634343,0.7580474131225876
2061,SSP245,110,132,1.302322485918346,0.35691801817890184,0.7728609460205338,0.6945348399810287,0.7971901261228169
2062,SSP245,108,130,1.1278902203637162,0.19136900971694285,0.6385569231665982,0.7096153796688945,0.6550435566629894
2063,SSP245,107,129,1.58774312636901,0.2852016656769569,0.6881256607018755,0.6689442399556146,0.7414754384591467
2064,SSP245,110,132,1.7960106101845092,0.3213291651762885,0.7035047709555695,0.6496079243576801,0.7707271051245937
2065,SSP245,110,132,1.696535950440085,0.25618699564519976,0.6499649253453459,0.6589096452954188,0.7162915465254186
2066,SSP245,108,130,1.0502682490593684,0.3139616482389094,0.7576713415530304,0.7161829186100798,0.7649555804137399
2067,SSP245,109,131,1.4766326872279878,0.19558188456707057,0.6090809626102299,0.6790363691625559,0.6592150009557239
2068,SSP245,108,130,1.4029099536733578,0.11671427178008276,0.5317888140883433,0.6856421380857463,0.577665492356726
2069,SSP245,104,126,1.4399402859501091,0.332436404728831,0.7427012321808134,0.6823332910419083,0.7792385531465235
2070,SSP245,113,135,2.8085761677285515,0.2167825736072277,0.49649934031948983,0.5495177238105236,0.6798252715707028
2071,SSP245,106,128,1.5967251631569128,0.24138176275278939,0.6445303358690018,0.6681214144979469,0.702885278461863
2072,SSP245,111,133,1.4638027236574764,0.2600164394770602,0.6752278033430047,0.680191233195796,0.7196990813782941
2073,SSP245,105,127,1.1569593248143804,0.4843628234275417,0.8635051933353357,0.7071328857195218,0.8731284817039173
2074,SSP245,109,131,2.411413521141031,0.30992029842425906,0.6363362978550526,0.5897444566046067,0.7617472407588839
2075,SSP245,108,130,1.7471410581028466,0.3679704038230996,0.74823502352395,0.6541923861075227,0.8049299180249007
2076,SSP245,107,129,1.5270644196786516,0.18375149282920186,0.591606630218135,0.6744756760679479,0.6474403322969077
2077,SSP245,110,132,2.9213708514835632,0.371403305716806,0.6499642104604937,0.5379501331336576,0.8072878935331007
2078,SSP245,107,129,1.5306876602820536,0.2713741964972333,0.6800909994263572,0.6741467258793661,0.729657100886035
2079,SSP245,110,132,1.725329057744433,0.31264480391728455,0.7016354588927942,0.656229423413988,0.7639134633509336
2080,SSP245,107,129,1.3326777735916953,0.285596276602284,0.7106512663725444,0.6918660423248152,0.7418077278208727
2081,SSP245,106,128,2.368566200896043,0.3667645248404474,0.6957254856211298,0.59402314464209,0.8040964585037351
