year,scenario,iceOut,eggMass,temperatureIndex,precipitationIndex,survivorship,meanAprilTemp,tempStart,tempEnd,precipStart,precipEnd
2003,SSP245,117,139,0.9641243173171528,0.23190836216636668,0.693166689693007,2.8093752783431336,117,139,129,149
2004,SSP245,114,136,0.02807693608409616,0.21298479231172116,0.7537592975515267,3.5353994499431334,114,136,126,146
2005,SSP245,117,139,1.1437826919258485,0.149242241222409,0.593246148709897,2.8214807675431337,117,139,129,149
2006,SSP245,114,136,0.19843213056627315,0.18944350923896136,0.7200846640886784,3.648519651543133,114,136,126,146
2007,SSP245,115,137,0.5281445687006243,0.3605139388758544,0.8264085106583455,3.3961354607431335,115,137,127,147
2008,SSP245,116,138,0.3577742932223636,0.16701660643000663,0.6857770523993493,2.9661362771431334,116,138,128,148
2009,SSP245,117,139,1.274081454012805,0.3679837690816327,0.7832729299073257,2.692389458343133,117,139,129,149
2010,SSP245,115,137,0.7653891579180158,0.25005728296262636,0.7264891355965983,3.2613474507431333,115,137,127,147
2011,SSP245,115,137,1.2921570657441028,0.2722907169757826,0.7019971450120903,3.409258217943133,115,137,127,147
2012,SSP245,114,136,1.0315897035623567,0.4581058872124634,0.8558387256522763,3.6056926687431337,114,136,126,146
2013,SSP245,116,138,0.4410867301393233,0.3261942189859715,0.8093124313976118,2.884653110343134,116,138,128,148
2014,SSP245,117,139,0.7968058458388919,0.2783458066122871,0.7480453582902287,2.6609558771431336,117,139,129,149
2015,SSP245,112,134,0.32504581499322316,0.18360346016899326,0.7040948769830004,4.330597845543133,112,134,124,144
2016,SSP245,112,134,0.35756924294582854,0.2002584149241012,0.7163896338138563,4.2373143699431335,112,134,124,144
2017,SSP245,112,134,0.40571959029757093,0.2815965660536934,0.7797440600884494,4.253794111543133,112,134,124,144
2018,SSP245,113,135,0.006714308084096025,0.20468498097196733,0.7485924822126735,4.025417445543133,113,135,125,145
2019,SSP245,116,138,0.6390559287480191,0.14540061425944129,0.6385721088477232,2.880584038343134,116,138,128,148
2020,SSP245,114,136,0.7993872253014872,0.47051608131095257,0.8734353576188105,3.821963845543133,114,136,126,146
2021,SSP245,117,139,2.2363285239258484,0.2742373999991081,0.6165810469486417,2.5748950043431336,117,139,129,149
2022,SSP245,111,133,0.9197646145980022,0.28632494342300424,0.7450624622854043,4.539951599943133,111,133,123,143
2023,SSP245,112,134,0.7103692417758316,0.33748196240803513,0.7996060372757471,4.2357884679431335,112,134,124,144
2024,SSP245,114,136,1.3200515251275742,0.3150724717906986,0.7375567812474492,3.6635752179431336,114,136,126,146
2025,SSP245,115,137,1.0687119380919285,0.2708759764065046,0.7197014041584009,3.390235306343133,115,137,127,147
2026,SSP245,116,138,1.4773732188349753,0.44316622680090667,0.822182866854429,3.088106710343133,116,138,128,148
2027,SSP245,111,133,0.8958809311197417,0.23456430179508356,0.7015834946378706,4.786842543543133,111,133,123,143
2028,SSP245,111,133,0.11397075246365121,0.29266298117336326,0.8074333248979191,4.592035721543133,111,133,123,143
2029,SSP245,115,137,1.5589908850484506,0.20136505643606756,0.6070238822586225,3.2679596927431334,115,137,127,147
2030,SSP245,113,135,1.3221745192145309,0.22447683878214855,0.6534612789891022,4.141080817143134,113,135,125,145
2031,SSP245,113,135,1.0280071510406177,0.36785927191153517,0.7999564527923476,4.020127651943134,113,135,125,145
2032,SSP245,111,133,1.4310232091593034,0.21796467911557504,0.6366079341990086,4.696305691543134,111,133,123,143
2033,SSP245,111,133,1.3800562700762633,0.2353942829290599,0.6588872799001315,4.4797293343431335,111,133,123,143
2034,SSP245,114,136,1.7933314383923602,0.30635766988395596,0.6898366310151512,3.7984649547431335,114,136,126,146
2035,SSP245,111,133,0.9469654763371328,0.29311569815553246,0.7485790348735513,4.667313553543133,111,133,123,143
2036,SSP245,109,131,0.2809213245427749,0.2513299207013885,0.7654425748030113,5.123049617543133,109,131,121,141
2037,SSP245,114,136,1.8479985361314903,0.2433621018152219,0.6224378873589648,3.7186094167431336,114,136,126,146
2038,SSP245,113,135,1.8116573433884438,0.2403741697329113,0.6228824955519278,4.099678009543133,113,135,125,145
2039,SSP245,113,135,0.6641790393884439,0.3730525824355534,0.8262459418114494,4.1213458179431335,113,135,125,145
2040,SSP245,109,131,1.1841226214123404,0.3009627925131186,0.7364296182777842,5.365668035543133,109,131,121,141
2041,SSP245,109,131,0.061574416937995556,0.18684038659149746,0.7290915799177037,5.159874719143133,109,131,121,141
2042,SSP245,112,134,1.3062671445584404,0.46197913250435024,0.8435152804775843,4.402722146743133,112,134,124,144
2043,SSP245,111,133,0.786281361380611,0.215119029513374,0.6931105025970518,4.753374426343133,111,133,123,143
2044,SSP245,111,133,0.9169932658549554,0.45699924570049977,0.8610047235046197,4.517571703943133,111,133,123,143
2045,SSP245,111,133,1.5111511549458283,0.22543450932135337,0.6365392081628646,4.755002055143134,111,133,123,143
2046,SSP245,107,129,1.0726805128432064,0.2101288530692107,0.6624818949023421,6.013260844343134,107,129,119,139
2047,SSP245,112,134,1.3982193259497449,0.2666569056421369,0.6874492615105244,4.282074161943133,112,134,124,144
2048,SSP245,112,134,1.3026996730327849,0.25448384901049387,0.6844312980795126,4.419303615143133,112,134,124,144
2049,SSP245,109,131,1.125061767372778,0.2951529245752901,0.7362127514740265,5.148277863943133,109,131,121,141
2050,SSP245,112,134,1.0976829755149624,0.24991895277363094,0.6982343801395925,4.331513386743134,112,134,124,144
2051,SSP245,112,134,1.9958421614280055,0.5159279062127498,0.8370771213214288,4.243824885143133,112,134,124,144
2052,SSP245,109,131,1.072532744716688,0.33746345106473624,0.7745239083496078,5.160688533543134,109,131,121,141
2053,SSP245,107,129,0.9904144919736411,0.3325020756041819,0.7766375886017185,5.947952238743133,107,129,119,139
2054,SSP245,109,131,0.6067858358945175,0.35384444762069367,0.8173601562678424,5.163129976743134,109,131,121,141
2055,SSP245,111,133,1.6521975745980022,0.3562523049764046,0.745920721552492,4.539646419543134,111,133,123,143
2056,SSP245,110,132,1.2267001092858216,0.44504751737125237,0.8379567201400866,5.086529696343134,110,132,122,142
2057,SSP245,110,132,1.959914111072347,0.38479088704463543,0.7455811571541717,5.056520290343133,110,132,122,142
2058,SSP245,109,131,2.0562600487640825,0.14437301856975587,0.4946963969530344,5.363430045943133,109,131,121,141
2059,SSP245,109,131,1.1914053325901697,0.3064534369378782,0.7405083492800622,5.1550935595431335,109,131,121,141
2060,SSP245,108,130,0.9437086220605977,0.3080759661012653,0.7609946870764139,5.694957687143133,108,130,120,140
2061,SSP245,110,132,1.2984687658549556,0.3598914530253724,0.7754242556354685,5.1055526079431335,110,132,122,142
2062,SSP245,108,130,1.1246787869775579,0.19439881491949587,0.641929592272325,5.5679009139431335,108,130,120,140
2063,SSP245,107,129,1.5848528363214673,0.28790517480948974,0.6909249576083067,5.759249024743133,107,129,119,139
2064,SSP245,110,132,1.7924780334597348,0.32440975954791923,0.7066237081774732,5.080222634743134,110,132,122,142
2065,SSP245,110,132,1.6926822303766946,0.25946373581434556,0.6535948230871402,4.878803570743134,110,132,122,142
2066,SSP245,108,130,1.0470568156732096,0.31706442651223976,0.7604081062249471,5.696585315943133,108,130,120,140
2067,SSP245,109,131,1.4731001105032129,0.16650584880909913,0.5786247038035146,5.2710621115431335,109,131,121,141
2068,SSP245,108,130,1.4000196636258149,0.1198671149456053,0.5355344147754102,5.574309702343133,108,130,120,140
2069,SSP245,104,126,1.4380134259184136,0.33471188963415877,0.7447590216488577,6.769701329143133,104,126,116,136
2070,SSP245,113,135,2.803759017649313,0.22017796213951377,0.5007275753106452,4.090217417143133,113,135,125,145
2071,SSP245,106,128,1.5941560164479858,0.2438066846884797,0.6472106994957266,6.064632878343133,106,128,118,138
2072,SSP245,111,133,1.4599490035940859,0.2632816490306333,0.6787141675119558,4.661616852743133,111,133,123,143
2073,SSP245,105,127,1.1547113214440694,0.4452811760157915,0.8420937669442419,6.439801316743133,105,127,117,137
2074,SSP245,109,131,2.4078809444162563,0.313035245370941,0.6398348262072399,5.3599713347431335,109,131,121,141
2075,SSP245,108,130,1.743929624716688,0.37073702461874525,0.7507670143864625,5.488045375943134,108,130,120,140
2076,SSP245,107,129,1.5244952729697248,0.18647826178969742,0.5947547127775114,6.014379839143134,107,129,119,139
2077,SSP245,110,132,2.9175171314201727,0.3743331247565447,0.6532488435545735,5.085410701543133,110,132,122,142
2078,SSP245,107,129,1.527797370234511,0.24002585448834018,0.6496765726674294,5.753043689943134,107,129,119,139
2079,SSP245,110,132,1.7214753376810426,0.3157515472639541,0.7048173397836217,5.046856244343134,110,132,122,142
2080,SSP245,107,129,1.3301086268827682,0.28746065025544143,0.7125507160022819,5.773389049943133,107,129,119,139
2081,SSP245,106,128,2.3659970541871163,0.3692315028938682,0.6982395213381579,6.208372846743133,106,128,118,138
2082,SSP245,108,130,1.9834298951514704,0.3297857737111723,0.6950273085632446,5.699637119943134,108,130,120,140
2083,SSP245,109,131,2.032907113807561,0.24195867917050262,0.6028369888676995,5.3995430599431335,109,131,121,141
2084,SSP245,110,132,1.8792554167640825,0.34594776997458637,0.7186594869644308,5.075441475143133,110,132,122,142
2085,SSP245,103,125,1.2485512846536277,0.18477594905461925,0.6201654255232948,7.227573655943133,103,125,115,135
2086,SSP245,104,126,1.5070107337445007,0.29111798870756267,0.700723691551764,6.980072351543133,104,126,116,136
2087,SSP245,101,123,1.3629577530805776,0.3222478037555382,0.740218488091137,7.911686385943134,101,123,113,133
2088,SSP245,108,130,1.2944007077997282,0.2202370464820035,0.6518401650832779,5.738598484343134,108,130,120,140
2089,SSP245,112,134,2.1623645101236577,0.30200026893058485,0.6519559801318284,4.208322231943133,112,134,124,144
2090,SSP245,108,130,2.1863085175862533,0.2771700000058215,0.6244847184734507,5.444506305543133,108,130,120,140
2091,SSP245,104,126,1.5724254890488487,0.22243939480902328,0.6275875352034488,6.846403336343133,104,126,116,136
2092,SSP245,106,128,1.8511860690962432,0.3002854326023083,0.6789068862927727,6.154966276743133,106,128,118,138
2093,SSP245,106,128,1.6862408849697248,0.3069278014289762,0.6997551918542223,6.307963383943133,106,128,118,138
